"NM_POINT_SOURCE","ID_POINT","NO_VALUE_ORIGINAL","NO_VALUE_STANDARD","TM_PERIOD_START","TM_PERIOD_END","TM_PROCESSED","NM_DERIVATION_TYPE","NM_MNEMONIC"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 11.45.00.000000000,04-SEP-20 11.59.59.999000000,04-SEP-20 11.54.35.905000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 12.00.00.000000000,04-SEP-20 12.14.59.999000000,04-SEP-20 12.09.33.030000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 12.15.00.000000000,04-SEP-20 12.29.59.999000000,04-SEP-20 12.24.26.502000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 12.30.00.000000000,04-SEP-20 12.44.59.999000000,04-SEP-20 12.39.34.064000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 12.45.00.000000000,04-SEP-20 12.59.59.999000000,04-SEP-20 12.54.33.355000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 13.00.00.000000000,04-SEP-20 13.14.59.999000000,04-SEP-20 13.09.31.859000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 13.15.00.000000000,04-SEP-20 13.29.59.999000000,04-SEP-20 13.24.29.043000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 13.30.00.000000000,04-SEP-20 13.44.59.999000000,04-SEP-20 13.39.59.752000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 13.45.00.000000000,04-SEP-20 13.59.59.999000000,04-SEP-20 13.54.42.712000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 14.00.00.000000000,04-SEP-20 14.14.59.999000000,04-SEP-20 14.09.40.968000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 14.15.00.000000000,04-SEP-20 14.29.59.999000000,04-SEP-20 14.24.47.051000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 14.30.00.000000000,04-SEP-20 14.44.59.999000000,04-SEP-20 14.39.25.859000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 14.45.00.000000000,04-SEP-20 14.59.59.999000000,04-SEP-20 14.54.30.093000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 15.00.00.000000000,04-SEP-20 15.14.59.999000000,04-SEP-20 15.09.23.045000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 15.15.00.000000000,04-SEP-20 15.29.59.999000000,04-SEP-20 15.24.32.765000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 15.30.00.000000000,04-SEP-20 15.44.59.999000000,04-SEP-20 15.39.27.953000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 15.45.00.000000000,04-SEP-20 15.59.59.999000000,04-SEP-20 15.54.34.195000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 16.00.00.000000000,04-SEP-20 16.14.59.999000000,04-SEP-20 16.09.21.678000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 16.15.00.000000000,04-SEP-20 16.29.59.999000000,04-SEP-20 16.24.28.921000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 16.30.00.000000000,04-SEP-20 16.44.59.999000000,04-SEP-20 16.39.32.461000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 16.45.00.000000000,04-SEP-20 16.59.59.999000000,04-SEP-20 16.54.23.764000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 17.00.00.000000000,04-SEP-20 17.14.59.999000000,04-SEP-20 17.09.25.000000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 17.15.00.000000000,04-SEP-20 17.29.59.999000000,04-SEP-20 17.24.26.806000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 17.30.00.000000000,04-SEP-20 17.44.59.999000000,04-SEP-20 17.39.27.554000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 17.45.00.000000000,04-SEP-20 17.59.59.999000000,04-SEP-20 17.54.29.430000000,"Average","mm/hr"
